name_ar,name_en,poems_served,poems_total,era_id,era_name,century_now,death_year,birth_year,active_year,century_new,date_confidence,source_note
أبو البقاء الرندي,Abū al-Baqāʾ al-Rundī,3,,8,مملوكي,14,1285,1204,,13,exact,Ronda; the elegy for al-Andalus
ابن الجياب الغرناطي,Ibn al-Jayyāb al-Ghirnāṭī,3,,8,مملوكي,14,1349,1274,,14,exact,"Nasrid Granada, teacher of Ibn al-Khatib"
ابن الحاج النميري,Ibn al-Hajj al-Numayri,3,,8,مملوكي,14,1383,1315,,14,approx,"Granada, chancery secretary"
ابن السيد البطليوسي,Ibn al-Sīd al-Baṭalyawsī,3,,7,أندلسي,11,1127,1052,,12,exact,"Badajoz, philologist"
ابن حديدة اللخمي القيرواني,Ibn Hadidat al-Lakhmi al-Qayrawani,3,,8,مملوكي,14,,,1100,11,approx,Kairouan; floruit estimate
ابن شرف القيرواني,Ibn Sharaf al-Qayrawani,3,,8,مملوكي,14,1068,1000,,11,exact,"Kairouan, rival of Ibn Rashiq"
ابن هذيل القرطبي,Ibn Hudhayl al-Qurṭubī,3,,7,أندلسي,11,,,1200,12,approx,Cordoba; floruit estimate
ابو جعفر بن سعيد الاندلسي,Abu Ja'far ibn Said al-Andalusi,3,,8,مملوكي,14,1163,,,12,approx,"Alcala la Real, of the Banu Sa'id"
ابو عثمان الخالدي ( الخالديان ),Abū ʿUthmān al-Khālidī (al-Khālidiyān),3,,7,أندلسي,11,980,,,10,approx,"The other Khalidi brother, Mosul"
الاخيطل الاحوازي,Al-Akhtal al-Ahwazi,3,,2,عباسي,9,,,900,9,approx,Ambiguous nisba; floruit estimate
التهامي,al-Tahami,3,,2,عباسي,9,1025,,,11,exact,"Ali ibn Muhammad, killed in Cairo 416 AH"
الحارث بن حلزة,al-Harith ibn Hillizah,3,,5,جاهلي,6,570,,,6,approx,Pre-Islamic mu'allaqa poet
الشاب الظريف,Al-Shābb al-Ẓarīf,3,,8,مملوكي,14,1289,1263,,13,exact,"Muhammad ibn Sulayman, Damascus, died young"
القاضي التنوخي,al-Qadi al-Tanukhi,3,,2,عباسي,9,994,940,,10,exact,Author of al-Faraj ba'd al-Shidda
القاضي عبد الوهاب المالكي,Al-Qadi Abd al-Wahhab al-Maliki,3,,7,أندلسي,11,1031,973,,11,exact,"Maliki jurist, Baghdad then Cairo"
جحظة البرمكي,Jahzat al-Baramaki,3,,2,عباسي,9,938,839,,10,exact,Abbasid musician-poet
ذو النون المصري,Dhu al-Nun al-Misri,3,,2,عباسي,9,861,796,,9,exact,Egyptian Sufi
عبد الرحمن الداخل,Abd al-Rahman al-Dakhil,3,,8,مملوكي,14,788,731,,8,exact,"Umayyad amir of Cordoba, Saqr Quraysh"
عبيد الله بن الرقيات,ʿUbayd Allāh ibn al-Ruqayyāt,3,,4,أموي,8,704,,,8,approx,Umayyad Zubayrid partisan
عرقلة الدمشقي,Urqula al-Dimashqi,3,,2,عباسي,9,1171,1106,,12,exact,"Damascus, Ayyubid"
عروة بن الورد,ʿUrwah ibn al-Ward,3,,5,جاهلي,6,594,,,6,approx,Pre-Islamic su'luk
عماد الدين الاصفهاني,Imad al-Din al-Isfahani,3,,7,أندلسي,11,1201,1125,,13,exact,Duplicate of al-Imad al-Isbahani
عمار بن ياسر,ʿAmmār ibn Yāsir,3,,6,مخضرم,13,657,566,,7,approx,"Companion, killed at Siffin"
عمرو بن معد يكرب,ʿAmr ibn Maʿdī Karib,3,,6,مخضرم,13,642,,,7,approx,Mukhadram knight of Zubayd
يزيد بن معاوية,Yazīd ibn Muʿāwiyah,3,,4,أموي,8,683,647,,7,exact,Umayyad caliph
ابن الجزري,Ibn al-Jazari,2,12,9,عثماني,,1429,1350,,15,exact,"Qira'at scholar, Shiraz"
ابن النقيب,Ibn al-Naqib,2,12,9,عثماني,,,,,,,Ambiguous nisba; no reliable dates
ابن معتوق,Ibn Ma'tuq,2,12,9,عثماني,,1676,1616,,17,exact,"Basra, Ottoman era"
حسن حسني الطويراني,Hasan Husni al-Tuwayrani,2,12,9,عثماني,,1897,1850,,19,exact,"Ottoman Egypt, journalist-poet"
ابن هتيمل,Ibn Hatim,2,8,3,متأخر,,1350,,,14,approx,"Yemeni, d. c. 750 AH"
احسان البني,Ihsan al-Banni,2,8,3,متأخر,,,,1980,20,approx,Syrian; floruit estimate
توفيق زياد,Tawfiq Zayyad,2,8,3,متأخر,,1994,1929,,20,exact,"Palestine, Nazareth"
ابن زهر الحفيد,Ibn Zuhr al-Ḥafīd,2,7,10,أيوبي,,1198,1113,,12,exact,"Seville, physician-poet"
ابن نما الحلي,Ibn Nama al-Hilli,2,7,3,متأخر,,1287,1222,,13,exact,"Hilla, Shia scholar"
العماد الأصبهاني,Al-ʿImād al-Iṣbahānī,2,7,10,أيوبي,,1201,1125,,13,exact,"Saladin's secretary, historian"
ابراهيم اليازجي,Ibrahim al-Yaziji,2,6,3,متأخر,,1906,1847,,20,exact,"Lebanon, Nahda philologist"
ابن النبيه,Ibn al-Nabih,2,6,3,متأخر,,1222,,,13,exact,"Ayyubid Egypt, d. 619 AH"
المكزون السنجاري,Al-Makhzūn al-Sinjārī,2,6,10,أيوبي,,1240,1188,,13,exact,Alawite Sufi leader
بلبل الغرام الحاجري,Bulbul al-Gharām al-Ḥājirī,2,6,10,أيوبي,,1235,1185,,13,approx,"Husayn ibn Muhammad al-Hajiri, Irbil"
سليم عنحوري,Salim Anhoury,2,6,3,متأخر,,1933,1856,,20,exact,"Damascus, Nahda journalist-poet"
مهدي حجي,Mahdi Haji,2,6,3,متأخر,,,,1950,20,approx,Iraqi; floruit estimate
وردة اليازجي,Warda al-Yaziji,2,6,3,متأخر,,1924,1838,,20,exact,"Lebanon, one of the first modern Arab women poets"
ابن باجة الاندلسي,Ibn Bajjah al-Andalusi,2,5,3,متأخر,,1138,1085,,12,exact,Avempace; philosopher-poet
ابو الهدى الصيادي,Abu al-Huda al-Sayyadi,2,5,3,متأخر,,1909,1850,,20,exact,"Aleppo, Ottoman court shaykh"
صالح الشرنوبي,Salih al-Sharnubi,2,5,3,متأخر,,1951,1924,,20,exact,Egypt
عمر الانسي,ʿUmar al-Ansī,2,5,3,متأخر,,1876,1822,,19,exact,Beirut
غادة السمان,Ghada al-Samman,2,5,3,متأخر,,,1942,1980,20,exact,"Syrian novelist-poet, living"
فدوى طوقان,Fadwa Tuqan,2,5,3,متأخر,,2003,1917,,21,exact,Palestine
قاسم حداد,Qasim Haddad,2,5,3,متأخر,,,1948,1990,20,exact,"Bahrain, living"
ابن لولو,Ibn Lulu,2,4,3,متأخر,,1350,,,14,approx,Mamluk-era; floruit estimate
اسماعيل صبري,Ismail Sabri,2,4,3,متأخر,,1923,1854,,20,exact,Egypt
المنازي,Al-Manazi,2,4,3,متأخر,,1050,,,11,approx,"Ahmad ibn Yusuf, Diyar Bakr, d. c. 437 AH"
امين ناصر الدين,Amin Nassir al-Din,2,4,3,متأخر,,1953,1884,,20,approx,Lebanon
انس الحجار,Anas al-Hajjar,2,4,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
حيدر بن سليمان الحلي,Haydar bin Sulayman al-Hilli,2,4,3,متأخر,,1886,1831,,19,exact,Duplicate (full name) of Haydar al-Hilli
خشان خشان,Khishan Khishan,2,4,3,متأخر,,,,2000,20,approx,Contemporary prosodist-poet; floruit estimate
سليمان الصولة,Sulayman al-Sawla,2,4,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
عبد الحميد السنوسي,Abd al-Hamid al-Sanusi,2,4,3,متأخر,,,,1950,20,approx,Libyan; floruit estimate
معين بسيسو,Mu'in Bseiso,2,4,3,متأخر,,1984,1926,,20,exact,Palestine
ولي الدين يكن,Wali al-Din Yakan,2,4,3,متأخر,,1921,1873,,20,exact,Egypt/Turkey
أبو اليمن الكندي,Abū al-Yaman al-Kindī,2,3,10,أيوبي,,1217,1132,,13,exact,Damascus philologist
بدر شاكر السياب,Badr Shakir al-Sayyab,2,3,3,متأخر,,1964,1926,,20,exact,"Iraq, founder of free verse"
عبد الباقي العمري الفاروقي,Abd al-Baqi al-'Umari al-Farouqi,2,3,3,متأخر,,1861,1790,,19,exact,Mosul
عبد القادر الجزايري,Abd al-Qadir al-Jaza'iri,2,3,3,متأخر,,1883,1808,,19,exact,"Algerian resistance leader, d. Damascus"
علي بن محمد التهامي,Ali bin Muhammad al-Tahami,2,3,3,متأخر,,1025,,,11,exact,Duplicate of al-Tihami
لبيد بن ربيعة العامري,Labid bin Rabi'ah al-Amiri,2,3,3,متأخر,,661,,,7,approx,Duplicate (full name) of Labid ibn Rabi'a
ابراهيم بن هلال بن زهرون,Ibrahim ibn Hilal ibn Zahrun,2,2,3,متأخر,,994,925,,10,exact,Duplicate of Abu Ishaq al-Sabi
ابن طفيل,Ibn Ṭufayl,2,2,10,أيوبي,,1185,1105,,12,exact,Author of Hayy ibn Yaqzan
الشاعر التونسي,Al-Sha'ir Al-Tunisi,2,2,3,متأخر,,,,1900,19,approx,Byname only; floruit estimate
عبدالرحيم بدر,Abd al-Rahim Badr,2,2,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
ابن قضيب البان الحلبي,Ibn Qaḍīb al-Bān al-Ḥalabī,2,1,3,متأخر,,1687,1620,,17,exact,"Aleppo Sufi, Ottoman era"
أبو الحسن السلامي,Abu al-Hasan al-Salami,2,,2,عباسي,9,1002,948,,11,exact,"Baghdad, d. 393 AH"
أبو بكر الصديق,Abū Bakr al-Ṣiddīq,2,,6,مخضرم,13,634,573,,7,exact,First caliph
أبو بكر العنبري,Abu Bakr al-'Anbari,2,,8,مملوكي,14,,,900,9,approx,No reliable dates; floruit estimate
أبو جعفر الملاحي,Abū Jaʿfar al-Mallāḥī,2,,10,أيوبي,,,,1200,12,approx,Andalusian; floruit estimate
أبو صخر الهذلي,Abū Ṣakhr al-Hudhaliyy,2,,4,أموي,8,700,,,7,approx,Umayyad Hudhali
إبراهيم بن المهدي,Ibrahim ibn al-Mahdi,2,,2,عباسي,9,839,779,,9,exact,"Abbasid prince, singer-poet"
ابراهيم بن العباس الصولي,Ibrahim bin al-'Abbas al-Suli,2,,7,أندلسي,11,857,792,,9,exact,Abbasid chancery poet
ابن أبي الخصال,Ibn Abī al-Khiṣāl,2,,7,أندلسي,11,1146,1073,,12,exact,"Almoravid chancery, al-Andalus"
ابن الخياط,Ibn al-Khayyat,2,,8,مملوكي,14,1123,1058,,12,exact,Damascus
ابن الزيات,Ibn al-Zayyat,2,,2,عباسي,9,847,790,,9,exact,"Abbasid vizier, d. under torture"
ابن العديم,Ibn al-'Adim,2,,8,مملوكي,14,1262,1192,,13,exact,Aleppo historian
ابن اللبانة الداني,Ibn al-Labbanah al-Dani,2,,8,مملوكي,14,1113,,,12,exact,"Denia, poet of the fall of Seville"
ابن المُقري,Ibn al-Muqrī,2,,8,مملوكي,14,1433,1354,,15,exact,"Yemen, Isma'il ibn Abi Bakr"
ابن بقي القرطبي,Ibn Baqī al-Qurṭubī,2,,7,أندلسي,11,1145,,,12,exact,"Cordoba, muwashshah master"
ابن جبير,Ibn Jubayr,2,,8,مملوكي,14,1217,1145,,13,exact,Valencian traveller
ابن زمرك,Ibn Zumruk,2,,8,مملوكي,14,1393,1333,,14,exact,Nasrid vizier; verses on the Alhambra walls
ابن سينا,Ibn Sina,2,,2,عباسي,9,1037,980,,11,exact,Avicenna
ابن هندو,Ibn Hindu,2,,2,عباسي,9,1019,,,11,approx,"Rayy, physician-philosopher"
ابو الحسن النوري,Abu al-Hasan al-Nuri,2,,7,أندلسي,11,907,,,10,exact,"Baghdad Sufi, d. 295 AH"
ابو منصور الثعالبي,Abu Mansur al-Tha'alibi,2,,7,أندلسي,11,1038,961,,11,exact,Duplicate of al-Tha'alibi
اروى بنت عبد المطلب,Arwā bint ʿAbd al-Muṭṭalib,2,,4,أموي,8,630,,,7,approx,Aunt of the Prophet
اشجع السلمي,Ashja' al-Sulaymi,2,,7,أندلسي,11,809,,,9,approx,Abbasid panegyrist of Harun al-Rashid
الاعمى التطيلي,Al-A'ma al-Tutili,2,,8,مملوكي,14,1126,,,12,exact,"Tudela, muwashshah master, d. 525 AH"
البوصيري,Al-Būṣīrī,2,,8,مملوكي,14,1295,1213,,13,exact,Author of al-Burda
الحاج غلوج,al-Ḥājj Ghulūj,2,,7,أندلسي,11,,,1800,18,approx,Maghribi; floruit estimate
الخرنق بنت بدر,al-Khirniq bint Badr,2,,5,جاهلي,6,600,,,6,approx,"Pre-Islamic, sister of Tarafa"
الزبرقان بن بدر,al-Zibriqān ibn Badr,2,,6,مخضرم,13,660,,,7,approx,Mukhadram chief of Tamim
الشنفرى,al-Shanfara,2,,5,جاهلي,6,525,,,6,approx,"Pre-Islamic su'luk, Lamiyyat al-Arab"
العباس بن مرداس,al-ʿAbbās ibn Mardās,2,,6,مخضرم,13,639,,,7,approx,"Companion, mukhadram"
العرجي,al-ʿArjī,2,,4,أموي,8,738,,,8,approx,"Umayyad Meccan, Umayyad prince"
الكميت بن زيد الاسدي,al-Kumait bin Zayd al-Asadi,2,,2,عباسي,9,744,679,,8,exact,Umayyad Shia partisan
تميم الفاطمي,Tamīm al-Fāṭimī,2,,8,مملوكي,14,984,948,,10,exact,"Fatimid prince, son of al-Mu'izz"
جبيهاء الأشجعي,Jubayha' al-Ashja'i,2,,1,إسلامي,7,,,700,7,approx,Umayyad tribal; floruit estimate
جليلة بنت مرة الشيبانية,Jalīla bint Murra al-Shaybāniyya,2,,5,جاهلي,6,,,520,6,approx,"Pre-Islamic, the Basus war cycle"
حازم القرطاجني,Hazim al-Qartajanni,2,,8,مملوكي,14,1285,1211,,13,exact,"Cartagena then Tunis, author of the Minhaj"
خالد بن الوليد,Khalid ibn al-Walid,2,,1,إسلامي,7,642,585,,7,exact,Companion and commander
دريد بن الصمة,Durayd ibn al-Ṣimmah,2,,5,جاهلي,6,630,,,7,approx,"Mukhadram, killed at Hunayn"
رابعة العدوية,Rabi'ah al-Adawiyah,2,,7,أندلسي,11,801,717,,9,approx,Basran Sufi ascetic
ربيعة الرقي,Rabi'a al-Ruqi,2,,2,عباسي,9,814,,,9,approx,"Abbasid, Raqqa"
زيادة بن زيد العذري,Ziyādah ibn Zayd al-ʿAdhrī,2,,4,أموي,8,,,700,7,approx,Udhri; floruit estimate
سمنون المحب,Samnun al-Muhibb,2,,2,عباسي,9,910,,,10,approx,Baghdad Sufi
صالح بن عبد القدوس,Salih ibn Abd al-Qudus,2,,2,عباسي,9,783,,,8,exact,"Executed for zandaqa, 167 AH"
صردر,Sardar,2,,2,عباسي,9,1072,1000,,11,approx,"Baghdad, d. c. 465 AH"
صريع الغواني,Sari' al-Ghawani,2,,2,عباسي,9,815,,,9,approx,"Muslim ibn al-Walid, d. 208 AH"
صفوان التجيبي,Ṣafwān al-Tujībī,2,,7,أندلسي,11,,,1200,12,approx,Andalusian; floruit estimate
عاتكة بنت زيد,Atika bint Zayd,2,,1,إسلامي,7,660,,,7,approx,"Companion poetess, elegist of husbands"
عبد الله بن الزبير الأسدي,ʿAbd Allāh ibn al-Zubayr al-Asadī,2,,4,أموي,8,693,,,7,approx,Umayyad-era Kufan
عبد المحسن الصوري,Abd al-Muhsin al-Suri,2,,2,عباسي,9,1030,951,,11,exact,"Tyre, d. 419 AH"
عبيد الله بن عبدالله بن طاهر,Ubayd Allah ibn Abd Allah ibn Tahir,2,,7,أندلسي,11,913,837,,10,exact,Tahirid prince of Baghdad
عبيد بن الأبرص,ʿUbayd ibn al-Abraṣ,2,,5,جاهلي,6,555,,,6,approx,"Pre-Islamic, killed by al-Nu'man"
عز الدين ابن معقل المهلبي,Izz al-Din Ibn Ma'qil al-Mahlabi,2,,5,جاهلي,6,1288,1207,,13,approx,"Hama, Ayyubid-Mamluk"
علقمة الفحل,'Alqamah al-Fahl,2,,5,جاهلي,6,590,,,6,approx,Pre-Islamic
عمرو بن الأهتم,ʿAmr ibn al-Ahtam,2,,6,مخضرم,13,641,,,7,approx,Mukhadram of Tamim
عمرو بن معدي كرب,Amr ibn Ma'di Karib,2,,4,أموي,8,642,,,7,approx,Duplicate spelling of Amr ibn Ma'di Karib
فاطمة الزهراء,Fatima al-Zahra,2,,1,إسلامي,7,632,605,,7,approx,Daughter of the Prophet
فاطمة بنت الاحجم الخزاعية,Fāṭima bint al-Aḥjam al-Khuzāʿiyya,2,,4,أموي,8,,,650,7,approx,Early Islamic poetess; floruit estimate
قس بن ساعدة,Qass ibn Ṣāʿidah,2,,5,جاهلي,6,600,,,6,approx,Pre-Islamic Christian orator of Iyad
قيس بن الخطيم,Qays ibn al-Khaṭīm,2,,6,مخضرم,13,600,,,6,approx,"Pre-Islamic Medinan; d. c.620 pre-hijra, pulled to 600 to stay with the Jahili era"
كعب بن مالك الأنصاري,Kaʿb ibn Mālik al-Anṣārī,2,,6,مخضرم,13,673,,,7,approx,"Companion, poet of the Ansar"
ليلى الأخليلية,Laylā al-Akhlīliyyah,2,,4,أموي,8,704,,,8,approx,Umayyad poetess
ليلى الاخيلية,Laylā al-Akhīliyya,2,,2,عباسي,9,704,,,8,approx,Duplicate spelling of Layla al-Akhyaliyya
محمد بن حمير الهمداني,Muḥammad ibn Ḥumayr al-Hamadānī,2,,8,مملوكي,14,,,1100,11,approx,Yemeni; floruit estimate
نزهون بنت القلاعي الغرناطية,Nuzhun bint al-Qala'i al-Gharnatiyah,2,,8,مملوكي,14,1155,,,12,approx,"Granada, 6th c. AH"
نهشل بن حري,Nahshal ibn Ḥurrī,2,,6,مخضرم,13,,,660,7,approx,Mukhadram of Tamim; floruit estimate
هند بنت عتبة,Hind bint ʿUtbah,2,,6,مخضرم,13,636,,,7,approx,Mother of Mu'awiya
يوسف الثالث,Yusuf al-Thalith,2,,8,مملوكي,14,1417,1376,,15,exact,Nasrid sultan of Granada
الباجي المسعودي,Al-Baji al-Mas'udi,1,7,3,متأخر,,1880,1810,,19,approx,"Tunisian, Ottoman era"
علي قوادري,Ali Qawadri,1,7,3,متأخر,,,,2010,21,approx,Contemporary Algerian; floruit estimate
محيي الدين ابن الشهرزوري,Muhyi al-Din ibn al-Shahrzuri,1,7,3,متأخر,,1193,1116,,12,approx,Ayyubid qadi of Damascus
ابن الطيب الشرقي,Ibn al-Tayyib al-Sharqi,1,6,9,عثماني,,1757,1698,,18,exact,"Fes, Morocco"
ابن جزي الكلبي,Ibn Juzayy al-Kalbi,1,6,3,متأخر,,1340,1294,,14,exact,"Granada, d. at the Battle of Rio Salado"
ابن ماكولا,Ibn Makula,1,6,3,متأخر,,1082,1030,,11,exact,"Baghdad, author of al-Ikmal"
المحبي,al-Muhibbi,1,6,9,عثماني,,1699,1651,,17,exact,"Damascus, author of Khulasat al-Athar"
الهبل,al-Habl,1,6,9,عثماني,,1668,1613,,17,exact,"Yemen, al-Hasan ibn Ali"
الورغي,al-Warghi,1,6,9,عثماني,,1776,,,18,approx,"Tunisian, Ottoman era"
الياس ابو شبكة,Elias Abu Shabaka,1,6,3,متأخر,,1947,1903,,20,exact,Lebanon
امين الجندي الحمصي,Amīn al-Jundī al-Ḥimṣī,1,6,3,متأخر,,1841,1766,,19,exact,"Homs, Ottoman era"
بهاء الدين العاملي,Baha' al-Din al-'Amili,1,6,9,عثماني,,1621,1547,,17,exact,"Safavid Isfahan, polymath"
ختام حمودة,Khitam Hammudah,1,6,3,متأخر,,,,2010,21,approx,Contemporary poet; floruit estimate
رايطة بنت شيظم النميرية,Raytah bint Shidham al-Numayriyyah,1,6,3,متأخر,,,,650,7,approx,Early Islamic tribal poetess; floruit estimate
عباد بن شداد اليربوعي,'Abbad bin Shaddad al-Yarbu'i,1,6,3,متأخر,,,,700,7,approx,Umayyad tribal poet; floruit estimate
محمد الاسمر,Muhammad al-Asmar,1,6,3,متأخر,,1956,1900,,20,exact,Egypt
محمد الخلخالي,Muhammad al-Khalkhali,1,6,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
ياسر الاطرش,Yaser al-Attrash,1,6,3,متأخر,,,,2010,21,approx,Contemporary Syrian; floruit estimate
يوسف بن أبي الفتح,Yusuf ibn Abi al-Fath,1,6,9,عثماني,,,,1650,17,approx,Ottoman-era; floruit estimate
احلام بناوي,Ahlam Banawi,1,5,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
الحسن بن عمرو الاباضي,Al-Hasan bin 'Amr al-Ibadi,1,5,3,متأخر,,,,1100,11,approx,Ibadi (Oman/Maghrib); floruit estimate
الشماخ بن ضرار الذبياني,Al-Shammakh ibn Dirar al-Dhubyani,1,5,3,متأخر,,656,,,7,approx,Mukhadram
امية بن عبد العزيز الداني,Umayya ibn Abd al-Aziz al-Dani,1,5,3,متأخر,,1134,,,12,exact,Duplicate of Umayya ibn Abd al-Aziz al-Dani
حسن قفطان,Hasan Qaftan,1,5,3,متأخر,,1861,1795,,19,approx,"Iraqi, Ottoman era"
طانيوس عبده,Ṭānyūs ʿAbduh,1,5,3,متأخر,,1926,1869,,20,exact,"Lebanon/Egypt, translator-poet"
ظهير الدين الروذراوري,Ẓahīr al-Dīn al-Rūdhrawarī,1,5,3,متأخر,,1113,1045,,12,exact,Seljuk vizier and historian
عامر بن الظرب العدواني,'Amir bin al-Dharb al-'Adwani,1,5,3,متأخر,,570,,,6,approx,Pre-Islamic sage of Adwan
علاء سالم,Alaa Salem,1,5,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
عمر الرافعي,Umar al-Rafi'i,1,5,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
مطيع بن اياس,Muti' ibn Iyas,1,5,3,متأخر,,787,,,8,approx,"Abbasid, Kufa/Baghdad"
موفق الدين بن ابي الحديد,Muwaffaq al-Din ibn Abi al-Hadid,1,5,3,متأخر,,1231,,,13,approx,"Brother of Ibn Abi al-Hadid, Baghdad"
نبوية موسى,Nabawiyya Musa,1,5,3,متأخر,,1951,1886,,20,exact,Egyptian educator and writer
ابن سارة الاندلسي,Ibn Sara al-Andalusi,1,4,3,متأخر,,1123,,,12,exact,Duplicate of Ibn Sarah al-Shantarini
ابو الحسن السنجاني,Abū al-Ḥasan al-Sinjānī,1,4,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
ابو غالب الواسطي,Abu Ghalib al-Wasiti,1,4,3,متأخر,,,,1050,11,approx,No reliable dates; floruit estimate
ابو نصر القشيري,Abu Nasr al-Qushayri,1,4,3,متأخر,,1120,1058,,12,approx,"Son of al-Qushayri, Nishapur"
احمد القوصي,Ahmad al-Qawsi,1,4,3,متأخر,,,,1300,13,approx,"Upper-Egyptian, Mamluk era; floruit estimate"
احمد فارس الشدياق,Ahmad Faris al-Shidyaq,1,4,3,متأخر,,1887,1805,,19,exact,"Nahda polymath, Lebanon/Istanbul"
العيزار بن الاخنس الطايي,Al-Aizar bin al-Akhnas al-Ta'i,1,4,3,متأخر,,,,650,7,approx,Early Islamic tribal; floruit estimate
القاسم صدر الافاضل,Al-Qasim Sadr al-Fadhil,1,4,3,متأخر,,1218,,,13,approx,Khwarazmian chancery poet
المفتي عبد اللطيف فتح الله,Al-Mufti Abd al-Latif Fathallah,1,4,3,متأخر,,1844,1775,,19,approx,"Beirut/Damascus, Ottoman era"
المفدي زكريا,Al-Mufdi Zakariya,1,4,3,متأخر,,1977,1908,,20,exact,"Algeria, poet of the revolution"
المنفتل,Al-Munfathil,1,4,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
النصيبي القوصي,Al-Nusaybi al-Qusi,1,4,3,متأخر,,,,1300,13,approx,Mamluk-era Upper Egypt; floruit estimate
باقر العطار,Baqir al-Attar,1,4,3,متأخر,,1813,1751,,19,approx,Baghdad
حيدر التميمي,Haydar al-Tamimi,1,4,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
خليل مردم بك,Khalil Mardam Bek,1,4,3,متأخر,,1959,1895,,20,exact,Damascus
ذبية بنت بيشة الفهمية,Dhubayba bint Bayisha al-Fahmiyya,1,4,3,متأخر,,,,650,7,approx,Early Islamic poetess; floruit estimate
سيف الدين المشد,Sayf al-Din al-Mashad,1,4,3,متأخر,,1257,1200,,13,approx,Ayyubid Egypt
شاعر الحمراء,Sha'ir al-Hamra,1,4,3,متأخر,,,,1400,14,approx,Nasrid Granada byname; floruit estimate
طاهر زمخشري,Tahir Zamakhshari,1,4,3,متأخر,,1987,1914,,20,exact,Saudi Arabia
طه حسين,Taha Husayn,1,4,3,متأخر,,1973,1889,,20,exact,"Egypt, Dean of Arabic Letters"
عايشة التيمورية,Aisha al-Taymuriyya,1,4,3,متأخر,,1902,1840,,20,exact,"Egypt, pioneer woman poet"
عبد الله بلفقيه,Abd Allah Belfqih,1,4,3,متأخر,,,,1950,20,approx,Hadhrami; floruit estimate
عبد المجيد قاسم الطرشاني,Abd al-Majid Qasim al-Tarshani,1,4,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
عبد المنعم الجلياني,ʿAbd al-Munʿim al-Jilyānī,1,4,10,أيوبي,,1207,1122,,13,exact,Andalusian-Damascene Sufi physician
عبد الوهاب البياتي,Abd al-Wahhab al-Bayati,1,4,3,متأخر,,1999,1926,,20,exact,Iraq
عمر ابو ريشة,Umar Abu Risha,1,4,3,متأخر,,1990,1910,,20,exact,Syria
عيينة بن عبد الرحمن ابو المنهال,Uyayna ibn Abd al-Rahman Abu al-Minhal,1,4,3,متأخر,,,,750,8,approx,Umayyad-Abbasid; floruit estimate
قسطاكي الحمصي,Qusṭākī al-Ḥimṣī,1,4,3,متأخر,,1941,1858,,20,exact,"Aleppo, Nahda critic"
مثنى ابراهيم دهام,Muthanna Ibrahim Daham,1,4,3,متأخر,,,,2010,21,approx,Contemporary Iraqi; floruit estimate
محمد بن علي بن ابي مروان,Muhammad bin Ali bin Abi Marwan,1,4,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
مكي بن هبيرة,Makki ibn Hubayra,1,4,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
نسيب النكدي,Naseeb al-Nakdi,1,4,3,متأخر,,,,1900,19,approx,Lebanese Druze family of writers; floruit estimate
يحيى ابن البحتري,Yaḥyā Ibn al-Buḥturī,1,4,3,متأخر,,900,,,9,approx,Son of al-Buhturi; floruit estimate
يحيى قصادي,Yahya Qassadi,1,4,3,متأخر,,,,2000,20,approx,Contemporary Yemeni; floruit estimate
أبو الحسن بن خروف,Abū al-Ḥasan ibn Kharūf,1,3,10,أيوبي,,1212,1150,,13,approx,Andalusian grammarian
ابتسام البرغوثي,Ibtisam al-Barghuthi,1,3,3,متأخر,,,,2000,20,approx,Contemporary Palestinian; floruit estimate
ابراهيم الاحدب,Ibrāhīm al-Aḥdab,1,3,3,متأخر,,1891,1826,,19,exact,"Tripoli/Beirut, Ottoman era"
ابن ابي الاصبع,Ibn Abi al-Usbu',1,3,3,متأخر,,1256,1197,,13,exact,Egyptian rhetorician
ابن الافرنجية,Ibn al-Ifranjiyya,1,3,3,متأخر,,,,1200,12,approx,No reliable dates; floruit estimate
ابن الصيقل الجزري,Ibn al-Sa'iqal al-Jazari,1,3,3,متأخر,,1225,,,13,approx,"Jazira, Ayyubid era maqama author"
ابن رشيد البغدادي,Ibn Rashīd al-Baghdādī,1,3,3,متأخر,,,,1200,12,approx,No reliable dates; floruit estimate
ابن زيلاق,Ibn Zilaq,1,3,3,متأخر,,,,1000,10,approx,No reliable dates; floruit estimate
ابن صاحب الصلاة ( ابن المناصف ),Ibn Sahib al-Salat (Ibn al-Manasif),1,3,3,متأخر,,1223,1170,,13,approx,Andalusian qadi
ابن فضال الحلواني,Ibn Faddal al-Halwani,1,3,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
